"UniqueActionId";"ActionCreatedBy";"ActionDate";"ActionDeleteDate";"ActionDescription"
"1893c154-6bec-4af9-9710-1cf1f9c8b19d";"43";"2019-12-15 03:55:45";NULL;"Register Try Out UTBK3 IPC"
"1ee7f885-50e0-432d-a9b1-c5d2f288a503";"43";"2019-07-11 13:38:20";NULL;"Top Up Subscription for 6 Bulan (180 hari)"
"49f2c6bf-8e40-4488-a0f7-4ef7cbb25c57";"43";"2019-07-11 13:38:53";NULL;"Top Up Subscription for 1 Tahun (365 hari)"
"52636a3d-7088-46bc-be31-57774172dd86";"43";"2019-10-09 18:42:47";NULL;"Register Tryout UTBK1 Soshum With Free Access"
"5cf9ce89-0deb-4821-81c1-98a08538cfde";"43";"2019-10-08 15:42:49";NULL;"Register Tryout UTBK1 Saintek With Free Access"
"7f52aedb-3215-489f-8b1a-6858c18d7e36";"43";"2019-07-11 13:37:44";NULL;"Top Up Subscription for 3 Bulan (90 hari)"
"80feedf7-8cf1-4e60-81cf-36fb86bb4f1a";"123";"2019-10-09 09:41:31";NULL;"Top Up 5 Diamond"
"81609f4c-8a41-4ad7-94f5-98bd10f4a7ea";"123";"2019-10-09 15:46:31";NULL;"Send Email Diamond"
"928e4ba7-0b8a-4f38-ab94-b07c1e821172";"7";"2019-07-01 09:48:22";NULL;"Add Tokopedia Avatar"
"a4a5ec53-2e9f-41ac-be98-1e6fa08697c4";"123";"2019-10-09 15:44:47";NULL;"Send Email Premium Package"
"b467dbfb-63f1-491b-abd7-3d035ccef872";"43";"2019-07-03 14:24:12";NULL;"Add Pahamify Testing"
"b561b384-449e-443a-b007-3e902f90ce02";"7";"2019-07-09 11:44:06";"2019-07-09 13:29:50";"Log Transaction and Notif User Via Email"
"c5dc77e6-5263-48ec-8d52-2cd1a1be9902";"43";"2019-12-11 19:34:42";NULL;"Top Up 65 Diamond"
"d0de8cd0-b90a-42f4-9461-4eddc2503d98";"43";"2019-12-11 19:33:45";NULL;"Top Up 45 Diamond"
"e11ad5a4-ddbb-4caa-a684-f361de4eaf87";"43";"2019-07-01 09:48:50";NULL;"Top Up Subscription for 1 Bulan (30 hari)"
