"ActionPackagesId";"ActionCreatedBy";"ActionModifiedBy";"ActionCreatedDate";"ActionUpdatedDate";"ActionDeletedDate";"ActionName";"description";"ActionBenefit";"TotalPrice";"BasePrice";"PromoDescription";"PromoStatus"
"021ca281-b694-43e8-936a-9cbf98cbbdce";"43";"43";"2019-10-12 17:34:53";"2019-10-13 11:26:08";NULL;"Paket Reward 5-Diamond for Einstein Student";"Hadiah 5 Diamond untuk kamu yang sudah membeli paket Einstein periode Juli-Oktober";"Mendapatkan 5 Diamond gratis";"0";"0";;"0"
"05d8d076-d2da-460a-aa43-7b27287caeef";"43";"43";"2019-10-08 13:35:47";"2019-10-08 13:35:47";"2019-10-08 13:37:17";"Paket 5 Diamond ";"Mendapatkan 5 buah diamond yang bisa kamu gunakan untuk ikutan Tryout UTBK Pahamify di Test Center";"Mendapatkan 5 buah diamond yang bisa kamu gunakan untuk ikutan Tryout UTBK Pahamify di Test Center";"25000";"0";;"1"
"05e6fb42-f783-461c-b19b-66e9598d13ab";"43";"104";"2019-07-11 13:57:01";"2019-12-11 12:39:50";NULL;"Paket Marie Curie Tokopedia (3 Bulan)";"Mendapatkan akses seluruh materi Pahamify selama 3 bulan (90 hari).
🎁Dapatkan bonus avatar topi Tokopedia untuk pembelian voucher Pahamify via Tokopedia";"Dapatkan akses ke seluruh materi belajar Pahamify selama 90 hari. Perhitungan paket aktif akan dihitung mulai 1 Agustus 2019, jadi kamu tetap bisa mengakses seluruh materi Pahamify secara gratis hinggal 31 Juli 2019.

🎁 Bonus Avatar 🎁
- Topi Tokopedia";"85000";"370000";"Special Launch Discount 70%";"0"
"1194dc2f-3469-40e1-bb20-0d57bbc3e4a6";"104";"104";"2019-07-01 15:17:45";"2019-07-01 15:17:45";"2019-07-01 15:17:53";"Hdhdhdh😜😀😊😃hzhzhzzhjzj 我爱你 ❌',";"Hdhdhdh😜😀😊😃hzhzhzzhjzj 我爱你 ❌',";"Hdhdhdh😜😀😊😃hzhzhzzhjzj 我爱你 ❌',";"0";"0";;"0"
"1532b93e-5153-4a88-ac4b-ef6eac679607";"43";"43";"2019-07-01 12:57:59";"2019-10-28 14:38:03";NULL;"Paket Tesla (6 Bulan)";"Mendapatkan akses seluruh materi Pahamify selama 6 bulan (180 hari). 
🎁Bonus avatar untuk pembelian  sebelum 1 Agustus 2019!";"Dapatkan akses ke seluruh materi belajar Pahamify selama 180 hari. Perhitungan paket aktif akan dihitung mulai 1 Agustus 2019, jadi kamu tetap bisa mengakses seluruh materi Pahamify secara gratis hinggal 31 Juli 2019.

🎁 Bonus Avatar 🎁
- Backgound Pahamify
- Baju Pahamify
- Topi Pahamify
- Gadget Pahamify";"170000";"570000";"Special Launch Discount 70%";"0"
"1cb3dfd6-eb8a-42ca-8f72-56fc95f78f82";"43";"43";"2019-10-09 16:20:29";"2019-12-11 19:25:05";NULL;"Paket 5 Diamond";"Mendapatkan 5 buah Diamond yang bisa kamu gunakan untuk ikutan Tryout UTBK Pahamify";"Mendapatkan 5 buah Diamond yang bisa kamu gunakan untuk ikutan Tryout UTBK Pahamify";"25000";"0";;"1"
"37695149-ebaf-4c88-8766-5470860be535";"43";"43";"2019-12-11 19:32:49";"2019-12-11 19:38:56";NULL;"Paket Bundling Tryout Saintek/Soshum";"Dapatkan 45 Diamond yang bisa kamu gunakan untuk 10 kali Try Out untuk persiapan UTBK 2020 dan 1 kali Konsultasi dengan Psikolog Pahamify";"Mendapatkan 45 Diamond yang bisa kamu gunakan untuk 10 kali Try Out untuk persiapan UTBK 2020 dan 1 kali Konsultasi dengan Psikolog Pahamify";"100000";"150000";"Promo Harbolnas";"1"
"42842ed8-65ee-4f01-9e5c-fe351cd75a76";"43";"43";"2019-12-11 19:38:52";"2019-12-11 19:38:52";NULL;"Paket Bundling Tryout Campuran";"Dapatkan 65 Diamond yang bisa kamu gunakan untuk 10 kali Try Out paket campuran (IPC) untuk persiapan UTBK 2020 dan 1 kali Konsultasi dengan Psikolog Pahamify";"Mendapatkan 65 Diamond yang bisa kamu gunakan untuk 10 kali Try Out paket campuran (IPC) untuk persiapan UTBK 2020 dan 1 kali Konsultasi dengan Psikolog Pahamify";"175000";"250000";"Promo Harbolnas";"1"
"43827957-7c98-436d-9a9b-2eb47096ef67";"43";"123";"2019-07-11 14:06:54";"2020-01-03 17:34:12";NULL;"Paket Tesla Tokopedia (6 Bulan)";"Mendapatkan akses seluruh materi Pahamify selama 6 bulan (180 hari). 
🎁Dapatkan bonus avatar topi Tokopedia untuk pembelian voucher Pahamify via Tokopedia";"Dapatkan akses ke seluruh materi belajar Pahamify selama 180 hari. Perhitungan paket aktif akan dihitung mulai 1 Agustus 2019, jadi kamu tetap bisa mengakses seluruh materi Pahamify secara gratis hinggal 31 Juli 2019.

🎁 Bonus Avatar 🎁
- Topi Tokopedia";"130000";"570000";"Special Launch Discount 70%";"1"
"65f46971-e2c1-4ae9-b52e-4b88de5d5e8e";"43";"43";"2019-10-08 13:37:08";"2019-12-11 19:24:55";NULL;"Paket 5 Diamond TEST EMAIL";"Mendapatkan 5 buah Diamond yang bisa kamu gunakan untuk ikutan Tryout UTBK Pahamify";"Mendapatkan 5 buah Diamond yang bisa kamu gunakan untuk ikutan Tryout UTBK Pahamify";"25000";"0";;"1"
